origin_iata,dest_iata,origin_city,dest_city,origin_country,dest_country,origin_country_code,dest_country_code,origin_lat,origin_lon,dest_lat,dest_lon,distance_nm,bearing_deg,range_limited,annual_pax,quick_score,traffic_source,route_region,overwater_pct,time_saved_hr,bti_origin,bti_dest,supersonic_block_hr,subsonic_block_hr,time_saved_pct,effective_speed_kts,overwater_cruise_hr,boomless_cruise_hr,subsonic_phase_hr,overture_without_boomless_block_hr,boomless_savings_min,region,yield_per_km,business_fare,first_fare,total_score,traffic_score,premium_demand_score,time_savings_score,viability_score,revenue_score,estimated_premium_pax,estimated_supersonic_revenue_M,business_fare_est,first_fare_est,route_type,revenue_per_flight,cost_per_flight,profit_per_flight,annual_revenue_M,annual_cost_M,annual_profit_M,payback_years,breakeven_load_factor,flights_per_day,fuel_cost_per_flight,non_fuel_cost_per_flight,fuel_per_hr,total_fuel_kg,rank,tier,tier_label,why_this_route
JFK,LHR,New York,London,United States,United Kingdom,US,GB,40.639447,-73.779317,51.470748,-0.459909,2991.3,51.4,False,4200000,407400000.0,observed,transatlantic,0.85,3.06,98.0,96.0,3.8,6.86,0.4458,841.6,2.61,0.68,0.52,4.08,16.5,transatlantic,0.3254,1802.42,3244.35,92.89,24.85,19.4,19.69,13.95,15.0,630000,340.66,1802.42,3244.35,overwater,103819.0,39860.0,63960.0,75.79,29.1,46.69,4.3,0.307,2.0,12938.0,26922.0,4006.0,15221.0,1,Tier 1,Flagship,"JFK-LHR ranks highly because it combines 4.2M annual passengers, strong business demand (BTI 98/96), 85% overwater routing, and 3.1 hours of block-time savings. Estimated annual supersonic revenue potential is $341M."
NRT,SFO,Tokyo,San Francisco,Japan,United States,JP,US,35.76858,140.388714,37.619806,-122.374821,4442.3,54.8,False,1600000,134400000.0,observed,transpacific,0.9865,4.85,91.0,77.0,5.1,9.95,0.4873,915.5,4.49,0.09,0.52,5.14,2.2,transpacific,0.195,1604.29,2887.73,92.73,23.28,16.8,23.57,14.91,14.17,240000,115.51,1604.29,2887.73,overwater,92407.0,58505.0,33902.0,33.73,21.35,12.37,16.2,0.506,1.0,18524.0,39981.0,4273.0,21793.0,2,Tier 1,Flagship,"NRT-SFO ranks highly because it combines 1.6M annual passengers, strong business demand (BTI 91/77), 99% overwater routing, and 4.8 hours of block-time savings. Estimated annual supersonic revenue potential is $116M."
EWR,LHR,New York,London,United States,United Kingdom,US,GB,40.6894,-74.170545,51.470748,-0.459909,3003.3,51.3,False,3000000,291000000.0,observed,transatlantic,0.85,3.07,98.0,96.0,3.82,6.89,0.4459,841.9,2.62,0.68,0.52,4.09,16.6,transatlantic,0.3249,1806.87,3252.36,92.12,24.3,19.4,19.73,13.95,14.74,450000,243.93,1806.87,3252.36,overwater,104076.0,40006.0,64070.0,75.98,29.2,46.77,4.3,0.308,2.0,12976.0,27030.0,3996.0,15266.0,3,Tier 1,Flagship,"EWR-LHR ranks highly because it combines 3.0M annual passengers, strong business demand (BTI 98/96), 85% overwater routing, and 3.1 hours of block-time savings. Estimated annual supersonic revenue potential is $244M."
LAX,NRT,Los Angeles,Tokyo,United States,Japan,US,JP,33.942501,-118.407997,35.76858,140.388714,4726.4,305.7,False,1450000,119625000.0,observed,transpacific,0.9578,5.09,74.0,91.0,5.46,10.56,0.4826,906.8,4.64,0.3,0.52,5.58,7.3,transpacific,0.195,1706.89,3072.41,91.94,23.12,16.5,23.47,14.7,14.15,217500,111.37,1706.89,3072.41,overwater,98317.0,62207.0,36110.0,35.89,22.71,13.18,15.2,0.506,1.0,19669.0,42538.0,4238.0,23140.0,4,Tier 1,Flagship,"LAX-NRT ranks highly because it combines 1.4M annual passengers, strong business demand (BTI 74/91), 96% overwater routing, and 5.1 hours of block-time savings. Estimated annual supersonic revenue potential is $111M."
LAX,LHR,Los Angeles,London,United States,United Kingdom,US,GB,33.942501,-118.407997,51.470748,-0.459909,4729.9,34.1,False,1500000,127500000.0,observed,transatlantic,0.85,4.85,74.0,96.0,5.72,10.56,0.459,865.5,4.12,1.07,0.52,6.15,26.1,transatlantic,0.27,2365.14,4257.25,91.47,23.17,17.0,22.93,13.95,14.42,225000,159.65,2365.14,4257.25,overwater,136232.0,62344.0,73889.0,49.72,22.76,26.97,7.4,0.366,1.0,19774.0,42569.0,4067.0,23264.0,5,Tier 1,Flagship,"LAX-LHR ranks highly because it combines 1.5M annual passengers, strong business demand (BTI 74/96), 85% overwater routing, and 4.8 hours of block-time savings. Estimated annual supersonic revenue potential is $160M."
LHR,SFO,London,San Francisco,United Kingdom,United States,GB,US,51.470748,-0.459909,37.619806,-122.374821,4652.3,316.5,False,1200000,103800000.0,observed,transatlantic,0.85,4.77,96.0,77.0,5.63,10.4,0.4586,864.8,4.06,1.06,0.52,6.06,25.6,transatlantic,0.27,2326.34,4187.4,91.22,22.81,17.3,22.92,13.95,14.24,180000,125.62,2326.34,4187.4,overwater,133997.0,61388.0,72609.0,48.91,22.41,26.5,7.5,0.367,1.0,19518.0,41871.0,4079.0,22962.0,6,Tier 1,Flagship,"LHR-SFO ranks highly because it combines 1.2M annual passengers, strong business demand (BTI 96/77), 85% overwater routing, and 4.8 hours of block-time savings. Estimated annual supersonic revenue potential is $126M."
LHR,ORD,London,Chicago,United Kingdom,United States,GB,US,51.470748,-0.459909,41.9786,-87.9048,3425.4,297.7,False,1600000,137600000.0,observed,transatlantic,0.85,3.51,96.0,76.0,4.28,7.79,0.4503,849.7,2.99,0.78,0.52,4.6,18.9,transatlantic,0.3073,1949.23,3508.62,89.95,23.28,17.2,21.2,13.95,14.32,240000,140.34,1949.23,3508.62,overwater,112276.0,45492.0,66784.0,81.96,33.21,48.75,4.1,0.324,2.0,14663.0,30829.0,4031.0,17251.0,7,Tier 1,Flagship,"LHR-ORD ranks highly because it combines 1.6M annual passengers, strong business demand (BTI 96/76), 85% overwater routing, and 3.5 hours of block-time savings. Estimated annual supersonic revenue potential is $140M."
HND,SFO,Tokyo,San Francisco,Japan,United States,JP,US,35.549678,139.786958,37.619806,-122.374821,4473.8,54.5,False,816845,137026729.87413806,gravity_model,transpacific,0.9822,4.87,91.0,77.0,5.14,10.02,0.4865,914.1,4.51,0.12,0.52,5.19,2.9,transpacific,0.195,1615.67,2908.2,85.72,18.86,16.8,23.56,14.88,11.62,122527,59.39,1615.67,2908.2,overwater,93063.0,58946.0,34116.0,33.97,21.52,12.45,16.1,0.507,1.0,18682.0,40264.0,4276.0,21979.0,8,Tier 1,Flagship,"HND-SFO ranks highly because it combines 0.8M annual passengers, strong business demand (BTI 91/77), 98% overwater routing, and 4.9 hours of block-time savings. Estimated annual supersonic revenue potential is $59M."
HND,LAX,Tokyo,Los Angeles,Japan,United States,JP,US,35.549678,139.786958,33.942501,-118.407997,4758.1,55.7,False,857612,160033919.13415575,gravity_model,transpacific,0.954,5.12,91.0,74.0,5.5,10.62,0.4819,905.6,4.66,0.33,0.52,5.64,8.0,transpacific,0.195,1718.34,3093.01,85.24,18.92,16.5,23.45,14.68,11.69,128642,66.32,1718.34,3093.01,overwater,98976.0,62650.0,36326.0,36.13,22.87,13.26,15.1,0.506,1.0,19827.0,42823.0,4241.0,23326.0,9,Tier 1,Flagship,"HND-LAX ranks highly because it combines 0.9M annual passengers, strong business demand (BTI 91/74), 95% overwater routing, and 5.1 hours of block-time savings. Estimated annual supersonic revenue potential is $66M."
LGA,LHR,New York,London,United States,United Kingdom,US,GB,40.777199,-73.872597,51.470748,-0.459909,2989.4,51.4,False,1417431,124161894.5167961,gravity_model,transatlantic,0.85,3.06,98.0,96.0,3.8,6.86,0.4458,841.6,2.61,0.68,0.52,4.08,16.5,transatlantic,0.3254,1801.71,3243.08,84.7,19.62,19.4,19.69,13.95,12.04,212615,114.92,1801.71,3243.08,overwater,103778.0,39842.0,63936.0,75.76,29.08,46.67,4.3,0.307,2.0,12938.0,26905.0,4006.0,15221.0,10,Tier 1,Flagship,"LGA-LHR ranks highly because it combines 1.4M annual passengers, strong business demand (BTI 98/96), 85% overwater routing, and 3.1 hours of block-time savings. Estimated annual supersonic revenue potential is $115M."
