iata,total_pax_millions,year
ATL,108.1,2024
DFW,87.8,2024
DEN,82.4,2024
ORD,80.2,2024
LHR,79.2,2024
HND,78.7,2024
LAX,76.5,2024
IST,76.0,2024
CDG,70.3,2024
AMS,66.2,2024
FRA,61.9,2024
MAD,60.1,2024
JFK,59.4,2024
DXB,92.3,2024
SIN,67.3,2024
ICN,71.2,2024
NRT,39.8,2024
HKG,53.1,2024
PVG,73.0,2024
PEK,67.4,2024
CAN,63.0,2024
SZX,52.8,2024
CTU,49.6,2024
HGH,45.2,2024
LGA,33.1,2024
EWR,49.0,2024
BOS,43.5,2024
IAD,25.7,2024
DCA,24.4,2024
SFO,54.1,2024
SEA,50.2,2024
MIA,56.0,2024
IAH,48.8,2024
PHL,31.2,2024
CLT,58.8,2024
LAS,57.6,2024
PHX,48.6,2024
MSP,37.1,2024
DTW,32.5,2024
BNA,25.8,2024
PDX,19.5,2024
SLC,27.8,2024
AUS,21.8,2024
SAN,24.6,2024
SJC,12.7,2024
YYZ,47.0,2024
YVR,26.2,2024
YUL,21.0,2024
MEX,45.4,2024
GRU,43.2,2024
GIG,14.2,2024
EZE,24.5,2024
SCL,25.1,2024
BOG,41.2,2024
LIM,24.8,2024
PTY,19.7,2024
GVA,17.8,2024
ZRH,31.0,2024
MUC,42.0,2024
DUB,33.4,2024
BRU,22.0,2024
CPH,30.0,2024
ARN,25.6,2024
OSL,22.0,2024
HEL,15.7,2024
VIE,29.5,2024
LIS,35.1,2024
BCN,49.9,2024
WAW,18.9,2024
PRG,16.1,2024
EDI,15.1,2024
MAN,28.1,2024
GLA,8.1,2024
BHX,13.0,2024
LYS,11.8,2024
MRS,11.2,2024
NCE,14.4,2024
FCO,40.5,2024
MXP,26.0,2024
NAP,12.4,2024
VCE,11.3,2024
TRN,4.7,2024
ATH,28.3,2024
BUD,16.2,2024
OTP,14.6,2024
DOH,45.9,2024
AUH,22.4,2024
RUH,28.0,2024
TLV,24.5,2024
JNB,21.1,2024
CPT,10.1,2024
CAI,28.0,2024
CMN,10.0,2024
NBO,8.0,2024
BOM,53.5,2024
DEL,73.7,2024
BLR,37.5,2024
MAA,22.5,2024
HYD,26.4,2024
PNQ,10.2,2024
KUL,47.0,2024
BKK,60.0,2024
CGK,58.4,2024
TPE,45.0,2024
MNL,45.3,2024
SGN,40.2,2024
HAN,28.6,2024
SYD,41.5,2024
MEL,36.1,2024
BNE,24.6,2024
PER,16.9,2024
AKL,18.5,2024
KIX,26.0,2024
ITM,14.0,2024
